id,runName,instrumentType,runType,data_folder,startDate,totalReadCount
2151,NOV88_S2,NovaSeq,PE150,190424_A00460_0106_AHHNC7DMXX,20190424,29677980610
2152,iSeq36,ISeq,Quant NovaSeq,20190509_FS10000406_46_BPA73017-0916,20190509,88068700
2154,NS276,NextSeq,PE75_HIGH,190425_NS500415_0270_AH3H7VBGXB,20190425,3213498862
2155,iSeq37,ISeq,Quant NovaSeq,20190429_FS10000406_41_BPA73017-1615,20190429,139649878
2158,MINI45,MiniSeq,PE 75_HO,190502_MN00710_0046_A000H2LVV3,20190502,46749413
2159,RUN519,HiSeq2500,PE75_index,190517_700523F_0291_BCD242ANXX,20190517,6566812662
2160,NOV112,NovaSeq,SR100,190510_A00460_0118_AH7MG7DRXX,20190510,11600627344
2161,NOV110,NovaSeq,PE150,190502_A00460_0112_AH7NVFDRXX,20190502,66507522642
2162,iSeq38,ISeq,Quant NovaSeq,20190430_FS10000406_42_BPA73017-1720,20190430,93283318
2163,NS277,NextSeq,PE75_HIGH,190430_NS500415_0271_AH3H7YBGXB,20190430,3123438368
2164,NOV113,NovaSeq,SR100,190508_A00460_0117_AH7LFWDRXX,20190508,11181404919
2165,NOV114,NovaSeq,PE150,190502_A00460_0113_BHJTCGDMXX,20190502,43042562588
2166,iSeq39,ISeq,Quant NovaSeq,20190506_FS10000406_43_BPA73017-1513,20190506,0
2170,NOV115,NovaSeq,SR100,190506_A00460_0114_AH77Y7DRXX,20190506,1132855155
2171,NOV116,NovaSeq,PE150,190517_A00460_0121_BH7KLJDRXX,20190517,6081770298
2174,RUN518,HiSeq2500,SR125_index,190524_700523F_0292_ACDN6UANXX,20190524,1524606455
2175,iSeq40,ISeq,Quant NovaSeq,20190508_FS10000406_45_BPA73017-2410,20190508,68508912
2176,NS278,NextSeq,SR150_HIGH,190507_NS500415_0272_AHKV57AFXY,20190507,282627699
2177,iSeq39_repeat ,ISeq,Quant NovaSeq,20190507_FS10000406_44_BPA73017-2309,20190507,58290690
2178,NOV117,NovaSeq,SR100,190515_A00460_0119_AH7L7TDRXX,20190515,13113824452
2181,NS279,NextSeq,PE75_Mid,190509_NS500415_0273_AHKTVYAFXY,20190509,1403792026
2182,NS280,NextSeq,PE75_Mid,190514_NS500415_0276_AHKV3WAFXY,20190514,4952237144
2185,NOV118,NovaSeq,PE150,190527_A00460_0125_BHCHJFDRXX,20190527,16304436452
2186,NOV119,NovaSeq,PE150,190531_A00460_0128_AH7V3HDRXX,20190531,5258054226
2188,NOV120,NovaSeq,PE150,190522_A00460_0122_BH7WHFDRXX,20190522,6025850588
2191,MINI46,MiniSeq,SR75,190515_MN00710_0047_A000H2FWM3,20190515,41250
2193,NS281,NextSeq,SR150_HIGH,190510_NS500415_0274_AHGK7TBGXB,20190510,622390922
2194,iSeq42,ISeq,Quant NovaSeq,20190516_FS10000406_48_BPC29611-0823,20190516,16008236
2195,NS282,NextSeq,PE75_Mid,190513_NS500415_0275_AHLMNTAFXY,20190513,525104752
2196,iSeq43,ISeq,Quant NovaSeq,20190514_FS10000406_47_BPC29611-0624,20190514,29894332
2199,iseq44,ISeq,Quant NovaSeq,20190521_FS10000406_50_BPC29611-0922,20190521,16753860
2200,iSeq45,ISeq,Quant NovaSeq,20190517_FS10000406_49_BPC29611-3018,20190517,52670932
2205,NOV122,NovaSeq,PE150,190529_A00460_0126_AH7WMMDRXX,20190529,11278156706
2206,NS283,NextSeq,PE75_Mid,190515_NS500415_0277_AHLNFJAFXY,20190515,2972574088
2207,NOV121,NovaSeq,SR100,190516_A00460_0120_AH7L7MDRXX,20190516,12495928983
2208,NS284,NextSeq,PE75_Mid,190516_NS500415_0278_AHKVMGAFXY,20190516,3375149978
2212,NS285,NextSeq,PE75_HIGH,190521_NS500415_0279_AHJ2FFBGX9,20190521,2011318208
2213,iSeq46,ISeq,Quant NovaSeq,20190523_FS10000406_52_BPC29611-2612,20190523,77997236
2214,RUN520,HiSeq2500,SR125_index,190607_700523F_0293_ACDN69ANXX,20190607,1785673016
2215,NOV116_copy,NovaSeq,PE150,190527_A00460_0124_AH7TWJDRXX,20190527,1998961582
2216,iSeq42_repeat,ISeq,Quant NovaSeq,20190522_FS10000406_51_BPC29611-2617,20190522,43585060
2217,NOV123,NovaSeq, PE28_91,190522_A00460_0123_AHHCGWDMXX,20190522,11097728800
2218,iSeq47,ISeq,Quant NovaSeq,20190524_FS10000406_53_BPC29611-3221,20190524,0
2219,iSeq48,ISeq,Quant NovaSeq,20190531_FS10000406_56_BPC29611-1923,20190531,162238034
