run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
605,2016-06-24,HiSeq4000,0,PE150,0
606,2016-05-19,MiSeq,,,
607,2016-05-20,MiSeq,0,PE300,0
609,2016-05-24,PacBio,,,
610,2016-05-26,PacBio,,,
611,2016-06-03,HiSeq4000,5571038464,PE150,835
612,2016-05-30,PacBio,,,
613,2016-05-30,PacBio,,,
614,2016-05-31,MiSeq,0,PE300,0
615,2016-06-03,MiSeq,0,PE300,0
616,2016-06-06,MiSeq,0,PE300,0
617,2016-06-10,HiSeq2500,1429948354,SR125,178
618,2016-06-10,HiSeq4000,6109712360,PE150,916
619,2016-06-07,PacBio,,,
620,2016-06-10,HiSeq4000,5723085168,PE75,429
621,2016-06-10,MiSeq,,,
622,2016-06-22,HiSeq4000,2771789272,SR125,346
623,2016-06-14,PacBio,,,
624,2016-06-15,MiSeq,,,
625,2016-06-16,MiSeq,,,
626,2016-06-29,HiSeq4000,2915476062,SR125,364
627,2016-06-21,PacBio,,,
628,2016-06-21,PacBio,,,
629,2016-06-21,NextSeq,78440080,PE75,5
630,2016-07-22,HiSeq4000,6050827606,PE75,453
631,2016-08-04,HiSeq2500,2318795236,PE125,289
632,2016-06-24,MiSeq,,,
633,2016-07-13,HiSeq4000,2939144309,SR125,367
634,2016-07-11,HiSeq4000,6106845458,PE150,916
635,2016-06-30,MiSeq,0,PE250,0
636,2016-07-01,NextSeq,355874136,PE150,53
638,2016-07-04,PacBio,,,
640,2016-07-07,MiSeq,,,
641,2016-07-14,HiSeq2500,1641064547,SR125,205
643,2016-07-08,MiSeq,0,PE300,0
644,2016-07-08,MiSeq,,,
645,2016-07-08,MiSeq,,,
646,2016-07-22,HiSeq4000,3048153405,SR125,381
647,2016-07-12,PacBio,,,
649,2016-07-18,NextSeq,377059629,PE150,56
651,2016-08-16,HiSeq4000,2871951138,PE150,430
652,2016-07-22,MiSeq,,,
653,2016-07-22,MiSeq,,,
654,2016-07-24,NextSeq,387107866,SR75,29
655,2016-08-16,HiSeq4000,1775091669,SR125,221
656,2016-07-25,MiSeq,,,
657,2016-07-25,NextSeq,550156269,SR75,41
658,2016-07-25,PacBio,,,
660,2016-08-13,HiSeq2500,1623787315,SR125,202
661,2016-07-27,NextSeq,410156678,SR75,30
662,2016-07-27,NextSeq,0,SR75,0
663,2016-07-28,MiSeq,0,PE150,0
664,2016-08-02,NextSeq,524860864,SR75,39
666,2016-08-06,HiSeq4000,2491696111,SR125,311
668,2016-08-05,MiSeq,0,PE300,0
670,2016-08-08,PacBio,,,
671,2016-08-09,NextSeq,109215437,PE75,8
673,0216-09-21,HiSeq4000,0,PE150,0
674,2016-08-12,MiSeq,0,PE300,0
676,2016-08-16,NextSeq,363303422,SR75,27
677,2016-08-16,MiSeq,0,PE300,0
678,2016-10-21,HiSeq2500,502180524,PE250,125
679,2016-09-21,HiSeq2500,813098580,PE125,101
680,2016-09-21,HiSeq2500,765944172,PE125,95
